"vis","X__3","X__4","X__8","X__10","X__17","X__18","X__29","X__30","X__43","X__46","X__48","X__49","X__53","X__57","X__59","X__64","X__67","X__71","X__74","X__84","X__86","X__106","X__109","X__113","X__115","X__117","X__133","X__138","autres"
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.29,0,0,0,65.7,0,0,0,0,0,0.00999999999999091
47,0,0,18.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.57,0,0,0,61.46,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9,0,0,0,65.09,0,0,0,0,0,0.00999999999999091
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.71,0,0,0,63.28,0,0,0,0,0,0.00999999999999091
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.74,0,0,0,60.25,0,0,0,0,0,0.00999999999999091
136,0,4.33,18.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24,0,0,0,61.46,0,0,0,0,0,0
616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,0,0,77.46,0,0,0,0,0,0.0100000000000051
579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.06,0,0,0,75.93,0,0,0,0,0,0.00999999999999091
376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7,0,0,0,73.29,0,0,0,0,0,0.00999999999999091
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,0,0,0,72.89,0,0,0,0,0,0.00999999999999091
245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.14,0,0,0,69.85,0,0,0,0,0,0.0100000000000051
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.17,0,0,0,67.82,0,0,0,0,0,0.0100000000000051
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.99,0,0,0,66,0,0,0,0,0,0.00999999999999091
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2,0,0,0,64.79,0,0,0,0,0,0.00999999999999091
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.31,0,0,0,63.68,0,0,0,0,0,0.00999999999999091
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.75,0,0,0,58.24,0,0,0,0,0,0.00999999999999091
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.77,0,0,0,52.22,0,0,0,0,0,0.00999999999999091
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.56,0,0,0,56.43,0,0,0,0,0,0.00999999999999091
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.77,0,0,0,49.22,0,0,0,0,0,0.00999999999999091
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,0,0,0,83.38,0,0,0,0,0,0.0100000000000051
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,82.22,0,0,0,0,0,0.0100000000000051
